Year,Kilometer,Length,Fuel Tank Capacity,Max_Power_Value,Max_Power_RPM,Max_Torque_Value,Make_encoded,Fuel_CNG,Fuel_Others,Fuel_Petrol,Transmission_is_Automatic,Volume,Efficiency,Age_Kilometer,Kilometer_per_Year,Power_to_CC,Power_to_Torque,RPM_Ratio,Owner_First_Owner,Owner_Fourth_Plus_Owner,Owner_New,Owner_Second_Owner,Owner_Third_Owner,Seating_2,Seating_4,Seating_6,Seating_7,Seating_8
2013,1.9406689893860385,0.2282499441095541,0.7982773596476346,0.7125642655899853,-0.5555387526963458,0.9788594440807484,1.2123767407821522,0,0,0,1,194.96782507459028,0.892627427019246,23.288027872632462,0.16172241578216986,0.7125642655899853,0.7125642655899853,-0.5555387526963458,1,0,0,0,0,0,0,0,0,0
2009,1.8494275704154188,-0.2816069130873715,-0.6030188276789289,-0.6704611832033024,1.1043686708958005,-0.9487035801585794,-0.98555689465635,0,0,1,0,256.96707913331437,1.1118412103050992,29.5908411266467,0.11558922315096368,-0.6704611832033024,-0.6704611832033024,0.6867560030876879,1,0,0,0,0,0,0,0,0,0
2017,-0.673123939865336,1.429246096617868,0.865005749520328,1.1576759042820788,0.8277174336304426,-0.226769863215011,0.8864873807048993,0,0,1,1,918.5733100141003,1.3383447507996857,-5.384991518922688,-0.084140492483167,0.8150592524249365,1.1576759042820788,0.5147193427218064,1,0,0,0,0,0,0,0,0,0
2014,1.3932204755623168,0.9193892394209422,0.7982773596476346,1.030501150370052,-0.924407069050156,1.3903616627385822,-0.6396645235869339,0,0,0,1,1434.2471391867034,1.290906146736922,15.325425231185484,0.12665640686930152,1.030501150370052,0.7411748885108668,-0.924407069050156,1,0,0,0,0,0,0,0,1,0
2016,-1.3169842197346842,-0.6781622464627581,-0.4695620479335419,-0.7499454043983187,1.1043686708958005,-0.934264905819708,-0.6396645235869339,0,0,1,0,249.57214232906466,1.5971167339837058,-11.852857977612157,-0.14633157997052046,-0.7499454043983187,-0.7499454043983187,0.9308728595980532,1,0,0,0,0,0,0,0,0,0
2011,0.0245991910030021,-1.6888118389508862,-1.136845946660477,-1.1155728218953949,1.2888028290727054,-1.208599718258264,-0.98555689465635,1,0,0,0,6281.321137638028,0.9812875923711805,0.34438867404202944,0.0017570850716430073,-1.1155728218953949,-1.1155728218953949,1.2888028290727054,1,0,0,0,0,0,0,0,0,0
2021,-0.8574011923796667,0.9443155746616808,0.5313638001568606,0.9351200849360316,-0.5555387526963458,0.5456992139146072,-0.5986582213161985,0,0,1,1,940.8642175764097,1.7598490613398592,-3.429604769518667,-0.21435029809491668,0.9351200849360316,0.9351200849360316,-0.5555387526963458,1,0,0,0,0,0,0,0,1,0
2011,-0.4592540537982003,-1.154028646513222,-0.4695620479335419,-0.781739092876326,0.73550035454199,-1.0136776146835005,0.4477814173579392,0,0,1,0,969.6092206816542,1.6648259720235465,-6.429556753174804,-0.032803860985585735,-0.781739092876326,-0.781739092876326,0.73550035454199,1,0,0,0,0,0,0,0,0,0
2017,-0.2491250659088612,-0.7461431607556815,-0.8032039972970094,-0.638667494725296,1.1043686708958005,-0.9703615916668864,-0.7598816335975614,0,0,1,0,650.2348232618866,0.7951497961596039,-1.9930005272708895,-0.03114063323860765,-0.638667494725296,-0.638667494725296,0.5933881225966249,1,0,0,0,0,0,0,0,0,0
2015,0.7655403406570925,0.7698312279765107,0.5313638001568606,0.8715327079800194,-0.7399729108732509,0.9788594440807484,1.670286102580891,0,0,0,1,2343.9226328847412,1.6401808096877124,7.655403406570925,0.07655403406570925,0.8715327079800194,0.8715327079800194,-0.7399729108732509,1,0,0,0,0,0,0,0,0,0
