Model,Year,Kilometer,Location,Length,Width,Height,Fuel Tank Capacity,Log_Price,Engine_Value,Max_Power_Value,Max_Power_RPM,Max_Torque_Value,Max_Torque_RPM,Make_encoded,Drivetrain_encoded,Fuel_CNG,Fuel_Others,Fuel_Petrol,Transmission_is_Automatic,Color_Medium,Color_Premium,Color_Rare,Color_Silver,Color_Standard,Owner_First_Owner,Owner_Fourth_Plus_Owner,Owner_New,Owner_Second_Owner,Owner_Third_Owner,Seller_Commercial Registration,Seller_Corporate,Seating_2,Seating_4,Seating_6,Seating_7,Seating_8
Terrano XL D Plus,2016,99000.00000000004,Chennai,4331.0,1822.0,1671.0,50.0,13.304684934198283,1461.0000000000002,83.99999999999999,3750.0,200.0,1900.0,13.343536423603807,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3-Series 330i M Sport Edition,2020,18999.999999999985,Chennai,4633.0,1811.0,1429.0,57.0,15.520258650202699,1997.999999999999,248.00000000000009,5200.0,350.0,1450.0,14.970197610360676,13.81,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ertiga ZDI + SHVS,2019,71999.99999999996,Lucknow,4296.0,1695.0,1685.0,45.0,13.652991628466498,1248.0000000000005,88.99999999999999,4000.0,200.0,1750.0,13.0876568212651,13.81,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
GLC 220d 4MATIC Progressive,2022,7404.661098281211,Hyderabad,4658.0,1890.0,1644.0,66.0,15.671808548329901,1950.0000000000005,192.0,3800.0,400.0,1600.0,14.979287245081439,13.81,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Verna 1.6 CRDI SX,2015,49000.00000000002,Mumbai,4375.0,1700.0,1475.0,43.0,13.369223455335854,1581.9999999999993,126.0,4000.0,260.0,1900.0,13.332835658211609,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Elantra 1.8 SX MT,2014,63999.99999999997,Dehradun,4530.0,1775.0,1470.0,56.0,13.458835614025542,1797.0000000000005,146.99999999999997,6500.0,177.0,4700.0,13.332835658211609,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Q2 Premium 40 TFSI quattro,2022,7404.661098281211,Gurgaon,4318.0,1805.0,1548.0,55.0,15.053884789007542,1983.9999999999993,188.0,4200.0,320.0,1500.0,14.645617786857711,13.81,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Q3 30 TDI Premium FWD,2017,84999.99999999996,Chennai,4385.0,1831.0,1608.0,64.0,14.493544100714171,1967.9999999999998,149.99999999999997,3500.0,340.0,1750.0,14.645617786857711,13.81,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Alto LXi,2011,69275.99999999994,Hyderabad,3620.0,1491.0,1460.0,35.0,12.542544882151386,998.0000000000002,66.99999999999997,6200.0,90.0,3500.0,13.0876568212651,13.81,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Grand i10 Asta AT 1.2 Kappa VTVT (O) [2016-2017],2017,49422.00000000001,Pune,3765.0,1660.0,1520.0,43.0,13.38472764187182,1196.9999999999995,81.00000000000003,6000.0,114.0,4000.0,13.332835658211609,13.81,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Venue SX 1.0 Turbo iMT,2021,10700.000000000005,Jaipur,3995.0,1770.0,1605.0,45.0,13.985253332551368,998.0000000000002,118.00000000000004,6000.0,172.0,1500.0,13.332835658211609,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Innova 2.5 G 7 STR BS-IV,2014,125999.99999999993,Delhi,4585.0,1760.0,1760.0,55.0,13.527828485512494,2494.0000000000005,100.00000000000004,3600.0,200.0,1400.0,14.103649799670542,13.81,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
GLE 250 d,2017,84999.99999999996,Ludhiana,4819.0,2035.0,1796.0,93.0,15.250595083253597,2143.0000000000005,201.0,3800.0,500.0,1600.0,14.979287245081439,13.81,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A3 35 TDI Premium,2019,15529.0,Mumbai,4456.0,1796.0,1416.0,50.0,14.880221294956703,1967.9999999999998,141.00000000000003,3500.0,320.0,1750.0,14.645617786857711,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Venue SX (O) 1.0 Turbo iMT,2021,8800.000000000004,Delhi,3995.0,1770.0,1605.0,45.0,13.883169206438088,998.0000000000002,118.00000000000004,6000.0,172.0,1500.0,13.332835658211609,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kwid 1.0 RXT Edition,2018,75500.00000000006,Raipur,3679.0,1579.0,1478.0,28.0,12.886641043883259,999.0000000000003,66.99999999999997,5500.0,91.0,4250.0,13.085894547754995,13.81,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Wagon R VXi 1.2,2020,18999.999999999985,Varanasi,3655.0,1620.0,1675.0,32.0,13.217673557208654,1196.9999999999995,82.00000000000001,6000.0,113.0,4200.0,13.0876568212651,13.81,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
S-Presso VXi (O),2019,53240.99999999996,Mirzapur,3565.0,1520.0,1564.0,27.0,12.959844447906553,998.0000000000002,66.99999999999997,5500.0,90.0,3500.0,13.0876568212651,13.81,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Wagon R LXi 1.0 CNG [2019-2020],2019,76000.0,Kanpur,3655.0,1620.0,1675.0,60.0,13.16158409055761,998.0000000000002,57.999999999999986,5500.0,78.0,3500.0,13.0876568212651,13.81,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Baleno Zeta 1.2,2017,67999.99999999999,Noida,3995.0,1745.0,1500.0,37.0,13.237476184504834,1196.9999999999995,83.00000000000003,6000.0,115.0,4000.0,13.0876568212651,13.81,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Alto VXi,2014,31099.999999999996,Jamshedpur,3620.0,1491.0,1460.0,35.0,12.409013489526863,998.0000000000002,66.99999999999997,6200.0,90.0,3500.0,13.0876568212651,13.81,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Wagon R LXi LPG,2011,41999.99999999999,Bhopal,3595.0,1491.0,1700.0,28.0,12.524526376648708,998.0000000000002,46.0,6200.0,85.0,3500.0,13.0876568212651,13.81,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Baleno Zeta 1.2 AT,2017,35616.000000000015,Pune,3995.0,1745.0,1500.0,37.0,13.422467969854667,1196.9999999999995,83.00000000000003,6000.0,115.0,4000.0,13.0876568212651,13.81,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Swift VXi [2014-2017],2018,50000.000000000015,Meerut,3850.0,1695.0,1530.0,42.0,13.217673557208654,1196.9999999999995,83.00000000000003,6000.0,115.0,4000.0,13.0876568212651,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
