Model,Year,Kilometer,Location,Length,Width,Height,Fuel Tank Capacity,Log_Price,Engine_Value,Max_Power_Value,Max_Power_RPM,Max_Torque_Value,Max_Torque_RPM,Make_encoded,Drivetrain_encoded,Fuel_CNG,Fuel_Others,Fuel_Petrol,Transmission_is_Automatic,Color_Medium,Color_Premium,Color_Rare,Color_Silver,Color_Standard,Owner_First_Owner,Owner_Fourth_Plus_Owner,Owner_New,Owner_Second_Owner,Owner_Third_Owner,Seller_Commercial Registration,Seller_Corporate,Seating_2,Seating_4,Seating_6,Seating_7,Seating_8
Wagon R LXi 1.0 CNG,2021,14999.99999999999,Pune,3655.0,1620.0,1675.0,60.0,13.422467969854667,998.0000000000002,57.999999999999986,5500.0,78.0,3500.0,13.0876568212651,13.81,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DZire ZDi Plus AMT,2018,92000.00000000007,Ludhiana,3995.0,1735.0,1515.0,37.0,13.437174117244362,1248.0000000000005,74.00000000000003,4000.0,190.0,2000.0,13.0876568212651,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Thar LX 4-STR Hard Top Petrol MT,2021,13999.999999999995,Delhi,3985.0,1820.0,1844.0,57.0,14.234220892822458,1997.0,149.99999999999997,5000.0,300.0,1250.0,13.7548285741869,13.81,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Tiago Revotron XZA [2017-2019],2017,34866.99999999997,Mumbai,3746.0,1647.0,1535.0,35.0,13.071070083016778,1198.9999999999998,83.99999999999999,6000.0,114.0,3500.0,13.539726337744348,13.81,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Wagon R LXi,2012,55000.00000000004,Hyderabad,3539.0,1491.0,1700.0,35.0,12.765688433465597,998.0000000000002,68.00000000000001,6200.0,90.0,3500.0,13.0876568212651,13.81,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Q7 Technology 55 TFSI,2022,7404.661098281211,Delhi,5064.0,1970.0,1703.0,85.0,16.056220247240233,2995.0,334.99999999999994,5200.0,500.0,1370.0,14.645617786857711,13.81,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Evoque SE,2016,28999.999999999996,Delhi,4465.0,1900.0,1635.0,57.0,15.053884789007542,2179.000000000001,188.0,3500.0,420.0,1750.0,15.278102064185989,13.81,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kwid RXT Opt,2019,55000.00000000004,Varanasi,3679.0,1579.0,1478.0,28.0,12.834681304952548,925.1908124790585,53.00000000000001,5678.0,72.0,4386.0,13.085894547754995,13.81,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Zest XM 75 PS Diesel,2017,39000.0,Ranchi,3995.0,1706.0,1570.0,44.0,12.959844447906553,1248.0000000000005,74.00000000000003,4000.0,190.0,1750.0,13.539726337744348,13.81,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Baleno Alpha 1.2,2019,42356.00000000001,Varanasi,3995.0,1745.0,1500.0,37.0,13.337474757021274,1196.9999999999995,83.00000000000003,6000.0,115.0,4000.0,13.0876568212651,13.81,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Wagon R LXi Minor,2008,50999.999999999985,Coimbatore,3520.0,1491.0,1690.0,35.0,12.292250341771226,1060.9999999999998,66.99999999999997,6200.0,84.0,3500.0,13.0876568212651,13.81,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Xylo D4,2012,70000.00000000001,Patna,4520.0,1850.0,1895.0,55.0,12.691580461311874,2489.000000000001,95.0,3600.0,220.0,1400.0,13.7548285741869,13.81,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
XUV500 W11 AT,2020,45350.00000000001,Bangalore,4585.0,1890.0,1785.0,70.0,14.53286193917797,2179.000000000001,152.99999999999997,3750.0,360.0,1750.0,13.7548285741869,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Tiguan Highline TDI,2018,73000.00000000003,Coimbatore,4486.0,1839.0,1672.0,71.0,14.53335035111459,1967.9999999999998,141.00000000000003,4000.0,340.0,1750.0,13.36190214923346,13.81,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Seltos HTX 1.5 [2020-2021],2020,41999.99999999999,Ahmedabad,4315.0,1800.0,1645.0,50.0,14.058456736574664,1497.0000000000007,113.00000000000003,6300.0,144.0,4500.0,14.082939331174831,13.81,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5-Series 530d M Sport [2013-2017],2018,20999.99999999998,Chennai,4899.0,2035.0,1464.0,65.0,15.473738634567807,2993.0000000000027,258.0,4000.0,560.0,1500.0,14.970197610360676,13.81,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Wagon R ZXi 1.2 AMT,2020,30777.00000000002,Bangalore,3655.0,1620.0,1675.0,32.0,13.457406021215947,1196.9999999999995,82.00000000000001,6000.0,113.0,4200.0,13.0876568212651,13.81,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GLS 350 d,2019,12999.999999999995,Mumbai,5130.0,1934.0,1850.0,100.0,15.955576721460545,2987.000000000002,254.99999999999991,3400.0,620.0,1600.0,14.979287245081439,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Tigor Revotron XM,2018,48143.99999999997,Kolkata,3992.0,1677.0,1537.0,35.0,12.834681304952548,1198.9999999999998,83.99999999999999,6000.0,114.0,3500.0,13.539726337744348,13.81,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Hexa XE 4x2 7 STR,2018,38000.000000000015,Mumbai,4788.0,1903.0,1791.0,60.0,13.815510557964274,2179.000000000001,147.99999999999994,4000.0,320.0,1700.0,13.539726337744348,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],2017,28999.999999999996,Bangalore,3765.0,1660.0,1520.0,43.0,13.235692062711331,1196.9999999999995,81.00000000000003,6000.0,114.0,4000.0,13.332835658211609,13.81,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Alto 800 Lxi CNG,2014,56843.00000000004,Navi Mumbai,3395.0,1491.0,1475.0,35.0,12.425208175446844,925.1908124790585,46.99999999999999,6000.0,69.0,3500.0,13.0876568212651,13.81,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Innova 2.5 GX BS IV 7 STR,2015,98000.00000000003,Mumbai,4585.0,1765.0,1760.0,55.0,13.805460222110773,2494.0000000000005,101.00000000000003,3600.0,200.0,1200.0,14.103649799670542,13.81,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Brio E MT,2016,35133.99999999997,Delhi,3610.0,1680.0,1500.0,35.0,12.834681304952548,1198.0,87.0,6000.0,109.0,4500.0,13.247622182348156,13.81,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Verna SX Plus 1.6 CRDi AT,2018,45914.99999999997,Mumbai,4440.0,1729.0,1475.0,45.0,13.897090544956697,1581.9999999999993,126.0,4000.0,260.0,1500.0,13.332835658211609,13.81,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Creta 1.6 SX Plus AT,2016,66000.0,Raipur,4270.0,1780.0,1630.0,60.0,13.737549016494562,1581.9999999999993,126.0,4000.0,265.0,1900.0,13.332835658211609,13.81,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
City V,2016,68499.99999999999,Ahmedabad,4440.0,1695.0,1495.0,40.0,13.437174117244362,1497.0000000000007,117.00000000000003,6600.0,145.0,4600.0,13.247622182348156,13.81,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brio E MT,2013,70000.00000000001,Dehradun,4370.0,1775.0,1550.0,50.0,12.429216196844383,1497.9999999999998,117.00000000000003,4200.0,200.0,1900.0,13.247622182348156,13.81,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Hector Sharp 2.0 Diesel [2019-2020],2020,12399.999999999998,Mohali,4655.0,1835.0,1760.0,60.0,14.352003928478842,1955.9999999999993,169.0,3750.0,350.0,1750.0,14.235879202727373,13.81,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
RS5 4.2 Coupe,2012,25500.0,Mumbai,4649.0,1860.0,1366.0,64.0,15.110237725558674,3165.290134357197,444.0,8250.0,430.0,4000.0,14.645617786857711,13.81,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Kwid RXT [2015-2019],2017,31999.999999999993,Kolkata,3679.0,1579.0,1478.0,28.0,12.429216196844383,925.1908124790585,53.00000000000001,5678.0,72.0,4386.0,13.085894547754995,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Alto 800 Lxi,2016,52303.00000000004,Bhopal,3395.0,1491.0,1475.0,35.0,12.736700896592344,925.1908124790585,46.99999999999999,6000.0,69.0,3500.0,13.0876568212651,13.81,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
A4 2.0 TDI (177bhp) Premium Plus,2013,50000.000000000015,Pune,4701.0,1826.0,1427.0,63.0,13.976778705560397,1967.9999999999998,176.99999999999994,4200.0,380.0,1750.0,14.645617786857711,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Innova 2.4 VX 7 STR [2016-2020],2017,28999.999999999996,Mysore,4735.0,1830.0,1795.0,55.0,14.592539222504922,2392.999999999999,147.99999999999994,3400.0,343.0,1400.0,14.103649799670542,13.81,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Alto LXi BS-III,2010,18500.0,Lucknow,3495.0,1491.0,1460.0,35.0,12.037653993905211,925.1908124790585,46.99999999999999,6200.0,62.0,3000.0,13.0876568212651,13.81,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Verna 1.6 CRDI SX,2017,57000.000000000044,Bangalore,4375.0,1700.0,1475.0,43.0,13.658856747918897,1581.9999999999993,126.0,4000.0,260.0,1900.0,13.332835658211609,13.81,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
DZire VXi AMT,2018,68817.99999999994,Mumbai,3995.0,1735.0,1515.0,37.0,13.45166712454693,1196.9999999999995,82.00000000000001,6000.0,113.0,4200.0,13.0876568212651,13.81,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
X1 sDrive20d xLine,2019,10999.999999999993,Delhi,4454.0,2035.0,1545.0,63.0,15.03928598958639,1995.0000000000007,184.00000000000006,4000.0,350.0,1750.0,14.970197610360676,13.81,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ertiga ZDI + SHVS,2017,67999.99999999999,Delhi,4296.0,1695.0,1685.0,45.0,13.547631112808673,1248.0000000000005,88.99999999999999,4000.0,200.0,1750.0,13.0876568212651,13.81,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Cayenne Platinum Edition Diesel,2016,55699.99999999999,Navi Mumbai,4855.0,1939.0,1705.0,85.0,15.49260711887219,2966.9999999999995,240.99999999999994,3800.0,550.0,1750.0,15.073386981633433,13.81,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Verna Fluidic 1.6 CRDi,2014,67999.99999999999,Lucknow,4370.0,1700.0,1475.0,43.0,13.244581010128577,1581.9999999999993,127.99999999999997,4000.0,260.0,1900.0,13.332835658211609,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GLC 220 d Sport,2018,47008.999999999985,Pune,4370.0,1775.0,1550.0,50.0,15.29711509888849,1497.9999999999998,117.00000000000003,4200.0,200.0,1900.0,14.979287245081439,13.81,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kushaq Style 1.0L TSI AT,2021,7900.000000000007,Pune,4225.0,1760.0,1612.0,50.0,14.301018373745976,999.0000000000003,114.00000000000003,5000.0,178.0,1750.0,13.940173966008981,13.81,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Linea Emotion 1.4,2011,54000.00000000001,Nashik,4560.0,1730.0,1487.0,45.0,12.367340793126296,1367.9999999999998,90.0,6000.0,115.0,4500.0,13.462345798374823,13.81,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
X1 sDrive20d xLine,2018,33999.99999999999,Delhi,4454.0,2035.0,1545.0,63.0,14.91078394536687,1995.0000000000007,184.00000000000006,4000.0,350.0,1750.0,14.970197610360676,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Ciaz VDi SHVS,2016,51330.00000000003,Mumbai,4490.0,1730.0,1485.0,43.0,13.345506928718539,1248.0000000000005,88.99999999999999,4000.0,200.0,1750.0,13.0876568212651,13.81,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Verna 1.6 VTVT S,2015,41999.99999999999,Kolkata,4375.0,1700.0,1475.0,43.0,13.112313041550827,1590.9999999999998,121.00000000000003,6300.0,155.0,4200.0,13.332835658211609,13.81,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Verna Fluidic 1.6 CRDi SX,2012,70000.00000000001,Jalandhar,4370.0,1700.0,1475.0,43.0,12.959844447906553,1581.9999999999993,126.0,4000.0,260.0,1900.0,13.332835658211609,13.81,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
i20 Sportz 1.4 CRDI,2013,95610.0,Rudrapur,3995.0,1710.0,1505.0,45.0,12.793859310432293,1335.9999999999995,88.99999999999999,4000.0,219.744,1500.0,13.332835658211609,13.81,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Fortuner 3.0 4x2 AT,2014,101000.00000000003,Jalandhar,4705.0,1840.0,1850.0,80.0,14.375126345899696,2982.000000000002,169.0,3600.0,360.0,1400.0,14.103649799670542,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Octavia 1.8 TSI Style Plus AT [2017],2016,55000.00000000004,Hyderabad,4670.0,1814.0,1476.0,50.0,14.077874822431765,1797.9999999999995,176.99999999999994,5100.0,250.0,1250.0,13.940173966008981,13.81,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5-Series 525d Sedan,2011,56000.000000000044,Mumbai,4899.0,2035.0,1464.0,50.0,14.074021253115776,1995.0000000000007,217.00000000000003,4400.0,450.0,1500.0,14.970197610360676,13.81,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Swift LXi,2017,64999.999999999956,Kanpur,3850.0,1695.0,1530.0,42.0,13.017002861746503,1196.9999999999995,83.00000000000003,6000.0,115.0,4000.0,13.0876568212651,13.81,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5-Series 520d Luxury Line [2017-2019],2019,29999.99999999999,Delhi,4936.0,1868.0,1479.0,65.0,15.38412647587812,1995.0000000000007,188.0,4000.0,400.0,1750.0,14.970197610360676,13.81,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Swift ZXi,2014,25703.999999999996,Mumbai,3850.0,1695.0,1530.0,42.0,13.049792684569493,1196.9999999999995,85.00000000000001,6000.0,114.0,4000.0,13.0876568212651,13.81,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Baleno Zeta 1.2 AT,2017,40000.0,Pune,3995.0,1745.0,1500.0,37.0,13.399995114002609,1196.9999999999995,83.00000000000003,6000.0,115.0,4000.0,13.0876568212651,13.81,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Scorpio VLX 2WD BS-IV,2014,83000.0,Rudrapur,4430.0,1817.0,1975.0,60.0,13.304684934198283,2179.000000000001,119.99999999999997,4000.0,290.0,1800.0,13.7548285741869,13.81,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Elantra SX (O) 2.0 AT,2017,23999.99999999999,Mumbai,4620.0,1800.0,1465.0,50.0,13.976778705560397,1998.9999999999993,149.99999999999997,6200.0,192.0,4000.0,13.332835658211609,13.81,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A4 35 TDI Premium Sunroof,2015,49000.00000000002,Mohali,4701.0,1826.0,1427.0,63.0,14.237504968023648,1967.9999999999998,176.99999999999994,4200.0,380.0,1750.0,14.645617786857711,13.81,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Endeavour Sport 2.0 4x4 AT,2021,41086.00000000002,Pune,4903.0,1869.0,1837.0,80.0,15.176487111099874,1996.0000000000007,167.99999999999997,3500.0,420.0,2000.0,13.701192212433263,13.81,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Polo Highline1.2L (D),2014,111000.00000000004,Ambala Cantt,3970.0,1682.0,1453.0,45.0,12.765688433465597,1198.9999999999998,74.00000000000003,4200.0,180.0,2000.0,13.36190214923346,13.81,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5-Series 520d Luxury Line [2017-2019],2022,7404.661098281211,Mumbai,4936.0,1868.0,1479.0,65.0,15.670244826353718,1995.0000000000007,188.0,4000.0,400.0,1750.0,14.970197610360676,13.81,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
GLE 250 d,2018,102000.00000000001,Patna,4819.0,2035.0,1796.0,93.0,15.250595083253597,2143.0000000000005,201.0,3800.0,500.0,1600.0,14.979287245081439,13.81,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Endeavour 3.0L 4x4 AT,2014,84999.99999999996,Zirakpur,5060.0,1788.0,1826.0,71.0,13.652991628466498,2953.0000000000014,154.00000000000006,3200.0,380.0,2500.0,13.701192212433263,13.81,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Corolla Altis 1.8 G,2014,104814.0,Mumbai,4540.0,1760.0,1480.0,55.0,13.493926933836812,1797.9999999999995,138.00000000000006,6400.0,173.0,4000.0,14.103649799670542,13.81,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Scorpio S5 2WD 7 STR,2020,35000.00000000001,Patna,4456.0,1820.0,1995.0,60.0,14.01436141670944,2179.000000000001,119.99999999999997,4000.0,280.0,1800.0,13.7548285741869,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Etios VXD,2014,82000.0,Ludhiana,4265.0,1695.0,1510.0,45.0,13.049792684569493,1364.0000000000005,66.99999999999997,3800.0,170.0,1800.0,14.103649799670542,13.81,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
A4 Premium Plus 40 TFSI,2021,12321.000000000005,Delhi,4762.0,1847.0,1433.0,54.0,15.250595083253597,1983.9999999999993,188.0,4200.0,320.0,1450.0,14.645617786857711,13.81,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
C-Class C 220 CDI Avantgarde,2014,80000.0,Hyderabad,4686.0,1810.0,1442.0,66.0,14.71159858252091,2143.0000000000005,167.99999999999997,3000.0,400.0,1400.0,14.979287245081439,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jetta 1.9L TDI,2009,107879.00000000004,Pune,4370.0,1775.0,1550.0,50.0,12.644327576461329,1497.9999999999998,117.00000000000003,4200.0,200.0,1900.0,13.36190214923346,13.81,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Macan Base [2019-2020],2019,26999.999999999978,Hyderabad,4696.0,1923.0,1624.0,65.0,16.012735135300492,1983.9999999999993,248.00000000000009,5000.0,370.0,1600.0,15.073386981633433,13.81,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Swift VXi,2011,68999.99999999997,Hyderabad,3850.0,1695.0,1530.0,42.0,12.86099861326992,1196.9999999999995,85.00000000000001,6000.0,114.0,4000.0,13.0876568212651,13.81,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Swift DZire VDI,2014,89000.00000000004,Lucknow,3995.0,1695.0,1555.0,42.0,12.959844447906553,1248.0000000000005,74.00000000000003,4000.0,190.0,2000.0,13.0876568212651,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Swift VDi AMT [2018-2019],2018,43000.00000000002,Mumbai,3840.0,1735.0,1530.0,37.0,13.457406021215947,1248.0000000000005,74.00000000000003,4000.0,190.0,2000.0,13.0876568212651,13.81,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Glanza V,2019,55000.00000000004,Jaipur,3995.0,1745.0,1510.0,37.0,13.507625778194974,1196.9999999999995,82.00000000000001,6000.0,113.0,4200.0,14.103649799670542,13.81,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Creta SX 1.6 CRDI,2017,70000.00000000001,Kanpur,4270.0,1780.0,1630.0,60.0,13.676247341204819,1581.9999999999993,126.0,4000.0,265.0,1900.0,13.332835658211609,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Eon 1.0 Kappa Magna + [2014-2016],2013,63999.99999999997,Faizabad,3515.0,1500.0,1510.0,32.0,12.388394202324129,998.0000000000002,68.00000000000001,6200.0,94.0,3500.0,13.332835658211609,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Wagon R VXi 1.0 [2019-2019],2022,7404.661098281211,Kanpur,3655.0,1620.0,1675.0,32.0,13.253391639810733,1497.9999999999998,117.00000000000003,4200.0,200.0,1900.0,13.0876568212651,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fortuner 3.0 4x2 AT,2014,71999.99999999996,Delhi,4705.0,1840.0,1850.0,80.0,14.237504968023648,2982.000000000002,169.0,3600.0,360.0,1400.0,14.103649799670542,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3-Series 330i M Sport Edition,2022,7404.661098281211,Raipur,4633.0,1811.0,1429.0,57.0,15.444751097694555,1997.999999999999,248.00000000000009,5200.0,350.0,1450.0,14.970197610360676,13.81,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Swift VXi,2013,67999.99999999999,Mumbai,3850.0,1695.0,1530.0,42.0,12.80765263256463,1196.9999999999995,85.00000000000001,6000.0,114.0,4000.0,13.0876568212651,13.81,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Vento Comfortline Diesel,2014,79081.00000000006,Delhi,4384.0,1699.0,1466.0,55.0,12.983099011217604,1598.0,103.00000000000001,4400.0,250.0,1500.0,13.36190214923346,13.81,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Tucson GL 2WD AT Petrol,2017,86000.00000000001,Bangalore,4475.0,1850.0,1660.0,62.0,14.282384294201082,1998.9999999999993,152.99999999999997,6200.0,192.0,4000.0,13.332835658211609,13.81,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DZire VXi AMT,2019,9644.000000000002,Pune,3995.0,1735.0,1515.0,37.0,13.623138665316818,1196.9999999999995,82.00000000000001,6000.0,113.0,4200.0,13.0876568212651,13.81,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Baleno Delta 1.2,2021,16000.000000000002,Delhi,3995.0,1745.0,1500.0,37.0,13.480037821676145,1196.9999999999995,83.00000000000003,6000.0,115.0,4000.0,13.0876568212651,13.81,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Q3 35 TDI Premium + Sunroof,2017,61642.99999999999,Dehradun,4385.0,1831.0,1608.0,64.0,14.68050799545088,1967.9999999999998,174.0,4200.0,380.0,1750.0,14.645617786857711,13.81,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TUV300 T8,2017,64999.999999999956,Delhi,3995.0,1835.0,1839.0,60.0,13.244581010128577,1493.0,83.99999999999999,3750.0,230.0,1500.0,13.7548285741869,13.81,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Vitara Brezza LDi (O) [2016-2018],2016,50000.000000000015,Mohali,3995.0,1790.0,1640.0,48.0,13.422467969854667,1248.0000000000005,88.99999999999999,4000.0,200.0,1750.0,13.0876568212651,13.81,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
City 1.5 EXi,2002,65493.99999999996,Ranchi,4370.0,1775.0,1550.0,50.0,11.512925464970229,1497.9999999999998,117.00000000000003,4200.0,200.0,1900.0,13.247622182348156,13.81,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fortuner 3.0 4x4 MT,2014,210999.99999999994,Jaipur,4705.0,1840.0,1850.0,80.0,14.331323723241304,2982.000000000002,169.0,3600.0,343.0,1400.0,14.103649799670542,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
i10 Magna 1.1 LPG,2014,47721.00000000003,Patna,3585.0,1595.0,1550.0,35.0,12.323855681186558,1085.9999999999998,68.00000000000001,5500.0,99.08,4500.0,13.332835658211609,13.81,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Wagon R LXi 1.0 CNG [2019-2020],2019,48000.00000000004,Mumbai,3655.0,1620.0,1675.0,60.0,13.217673557208654,998.0000000000002,57.999999999999986,5500.0,78.0,3500.0,13.0876568212651,13.81,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
WR-V S MT Diesel,2018,40999.99999999999,Raipur,3999.0,1734.0,1601.0,40.0,13.579788224443204,1497.9999999999998,98.99999999999999,3600.0,200.0,1750.0,13.247622182348156,13.81,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Creta 1.6 SX,2016,71999.99999999996,Ahmedabad,4270.0,1780.0,1630.0,60.0,13.652991628466498,1581.9999999999993,126.0,4000.0,265.0,1900.0,13.332835658211609,13.81,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Santro GL (CNG),2013,76000.0,Delhi,3565.0,1525.0,1590.0,35.0,12.524526376648708,1085.9999999999998,62.00000000000001,5500.0,96.0,3000.0,13.332835658211609,13.81,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7-Series 730Ld DPE,2017,28000.00000000002,Delhi,5219.0,1902.0,1481.0,78.0,15.598901777521812,2993.0000000000027,261.99999999999994,4000.0,620.0,2000.0,14.970197610360676,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
