Model,Year,Kilometer,Location,Length,Width,Height,Fuel Tank Capacity,Engine_Value,Max_Power_Value,Max_Power_RPM,Max_Torque_Value,Max_Torque_RPM,Make_encoded,Drivetrain_encoded,Fuel_CNG,Fuel_Others,Fuel_Petrol,Transmission_is_Automatic,Color_Medium,Color_Premium,Color_Rare,Color_Silver,Color_Standard,Owner_First_Owner,Owner_Fourth_Plus_Owner,Owner_New,Owner_Second_Owner,Owner_Third_Owner,Seller_Commercial Registration,Seller_Corporate,Seating_2,Seating_4,Seating_6,Seating_7,Seating_8
Fortuner 2.8 4x2 AT [2016-2020],2018,7799.999999999997,Mumbai,4795.0,1855.0,1835.0,80.0,2754.999999999999,174.0,3400.0,450.0,1600.0,14.103649799670542,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
X1 sDrive20d xLine,2019,58999.99999999997,Mumbai,4454.0,2035.0,1545.0,63.0,1995.0000000000007,184.00000000000006,4000.0,350.0,1750.0,14.970197610360676,13.81,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Elite i20 Asta 1.2 (O) [2016],2017,36596.99999999998,Hyderabad,3985.0,1734.0,1505.0,45.0,1196.9999999999995,82.00000000000001,6000.0,115.0,4000.0,13.332835658211609,13.81,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Range Rover Sport SDV6 S,2014,70000.00000000001,Mumbai,4879.0,2035.0,1780.0,77.0,2993.0000000000027,289.00000000000006,4000.0,600.0,2000.0,15.278102064185989,13.81,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Amaze 1.2 SX i-VTEC,2017,38700.000000000015,Meerut,3990.0,1680.0,1505.0,35.0,1198.0,87.0,6000.0,109.0,4500.0,13.247622182348156,13.81,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Q3 35 TDI quattro Premium Plus,2018,35000.00000000001,Pune,4385.0,1831.0,1608.0,64.0,1967.9999999999998,184.00000000000006,3500.0,380.0,1750.0,14.645617786857711,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Venue SX 1.5 CRDi,2022,7404.661098281211,Mumbai,3995.0,1770.0,1605.0,45.0,1493.0,98.99999999999999,4000.0,240.0,1500.0,13.332835658211609,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jazz V Petrol,2017,24002.999999999978,Bangalore,3955.0,1694.0,1544.0,40.0,1198.9999999999998,88.99999999999999,6000.0,110.0,4800.0,13.247622182348156,13.81,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Teana 250XL,2013,32999.99999999999,Pune,4370.0,1775.0,1550.0,50.0,1497.9999999999998,117.00000000000003,4200.0,200.0,1900.0,13.343536423603807,13.81,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Wagon R LXI CNG (O),2015,67579.99999999996,Pune,3599.0,1495.0,1700.0,35.0,998.0000000000002,57.999999999999986,6200.0,77.0,3500.0,13.0876568212651,13.81,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cooper S,2017,10500.000000000005,Mumbai,3850.0,1727.0,1414.0,44.0,1997.999999999999,189.00000000000003,4200.0,280.0,1250.0,14.516270808655126,13.81,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Innova 2.4 VX 8 STR [2016-2020],2019,71062.99999999996,Navi Mumbai,4735.0,1830.0,1795.0,55.0,2392.999999999999,147.99999999999994,3400.0,343.0,1400.0,14.103649799670542,13.81,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Creta E Plus 1.4 CRDI,2018,62999.99999999995,Delhi,4270.0,1780.0,1630.0,60.0,1396.0,88.99999999999999,4000.0,224.0,1500.0,13.332835658211609,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Q2 Premium 40 TFSI quattro,2022,7404.661098281211,Gurgaon,4318.0,1805.0,1548.0,55.0,1983.9999999999993,188.0,4200.0,320.0,1500.0,14.645617786857711,13.81,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nexon XM,2019,32999.99999999999,Delhi,3994.0,1811.0,1607.0,44.0,1198.0,108.00000000000003,5000.0,170.0,1750.0,13.539726337744348,13.81,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Verna Fluidic 1.6 CRDi SX Opt,2014,63999.99999999997,Ahmedabad,4370.0,1700.0,1475.0,43.0,1581.9999999999993,126.0,4000.0,260.0,1900.0,13.332835658211609,13.81,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tigor EV XZ Plus,2021,17999.999999999993,Hyderabad,3993.0,1677.0,1532.0,50.0,1497.9999999999998,117.00000000000003,4200.0,200.0,1900.0,13.539726337744348,13.81,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
XUV500 W10 AWD,2015,121000.00000000003,Kanpur,4585.0,1890.0,1785.0,70.0,2179.000000000001,138.00000000000006,3750.0,330.0,1600.0,13.7548285741869,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Alto VXi,2014,82681.99999999996,Pune,3620.0,1491.0,1460.0,35.0,998.0000000000002,66.99999999999997,6200.0,90.0,3500.0,13.0876568212651,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Grande GX,2011,192325.99999999997,Ranchi,4421.0,1780.0,1940.0,65.0,2179.000000000001,119.99999999999997,4000.0,250.0,1500.0,13.539726337744348,13.81,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Seltos HTX Plus 1.5 Diesel [2020-2021],2019,55000.00000000004,Lucknow,4315.0,1800.0,1645.0,50.0,1493.0,113.00000000000003,4000.0,250.0,1500.0,14.082939331174831,13.81,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Safari XZA Plus 6S Adventure New,2021,13593.99999999999,Bangalore,4661.0,1894.0,1786.0,50.0,1955.9999999999993,167.99999999999997,3750.0,350.0,1750.0,13.539726337744348,13.81,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
A3 35 TFSI Premium Plus,2018,77590.00000000006,Delhi,4456.0,1796.0,1416.0,50.0,1394.9999999999998,147.99999999999994,5000.0,250.0,1500.0,14.645617786857711,13.81,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fortuner 2.8 4x2 AT [2016-2020],2020,55000.00000000004,Delhi,4795.0,1855.0,1835.0,80.0,2754.999999999999,174.0,3400.0,450.0,1600.0,14.103649799670542,13.81,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],2015,87500.00000000007,Gurgaon,3765.0,1660.0,1520.0,43.0,1196.9999999999995,81.00000000000003,6000.0,114.0,4000.0,13.332835658211609,13.81,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
XF 3.0 V6 Premium Luxury,2015,62644.99999999995,Hyderabad,4370.0,1775.0,1550.0,50.0,1497.9999999999998,117.00000000000003,4200.0,200.0,1900.0,14.766056716400424,13.81,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],2015,48000.00000000004,Delhi,3765.0,1660.0,1520.0,43.0,1196.9999999999995,81.00000000000003,6000.0,114.0,4000.0,13.332835658211609,13.81,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Swift VDi,2017,139999.9999999999,Warangal,3850.0,1695.0,1530.0,42.0,1248.0000000000005,74.00000000000003,4000.0,190.0,2000.0,13.0876568212651,13.81,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Fortuner 3.0 4x2 AT,2014,71999.99999999996,Delhi,4705.0,1840.0,1850.0,80.0,2982.000000000002,169.0,3600.0,360.0,1400.0,14.103649799670542,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Alto VXi AMT [2014-2018],2015,20099.999999999996,Pune,3545.0,1491.0,1475.0,35.0,998.0000000000002,66.99999999999997,6000.0,90.0,3500.0,13.0876568212651,13.81,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
i20 Magna 1.2,2014,46000.000000000044,Hyderabad,3995.0,1710.0,1505.0,45.0,1196.9999999999995,83.00000000000003,6000.0,113.796,4000.0,13.332835658211609,13.81,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Elite i20 Magna 1.2 [2016-2017],2019,31000.000000000015,Kanpur,3985.0,1734.0,1505.0,45.0,1196.9999999999995,82.00000000000001,6000.0,115.0,4000.0,13.332835658211609,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Grande GX,2011,98000.00000000003,Mumbai,4421.0,1780.0,1940.0,65.0,2179.000000000001,119.99999999999997,4000.0,250.0,1500.0,13.539726337744348,13.81,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
XUV500 W11,2018,46999.99999999999,Ranchi,4585.0,1890.0,1785.0,70.0,2179.000000000001,152.99999999999997,3750.0,360.0,1750.0,13.7548285741869,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Elite i20 Magna 1.2,2015,68766.0,Mumbai,3985.0,1734.0,1505.0,45.0,1196.9999999999995,82.00000000000001,6000.0,115.0,4000.0,13.332835658211609,13.81,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
i10 Sportz 1.2 AT Kappa2,2013,33999.99999999999,Mumbai,3585.0,1595.0,1550.0,35.0,1196.9999999999995,79.0,6000.0,112.7619,4000.0,13.332835658211609,13.81,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Jazz VX Petrol,2017,92270.0,Mumbai,3955.0,1694.0,1544.0,40.0,1198.9999999999998,88.99999999999999,6000.0,110.0,4800.0,13.247622182348156,13.81,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Scorpio S10,2014,100000.00000000004,Mumbai,4456.0,1820.0,1995.0,60.0,2179.000000000001,119.99999999999997,4000.0,280.0,1800.0,13.7548285741869,13.81,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
Innova 2.8 ZX AT 7 STR [2016-2020],2018,57000.000000000044,Pune,4735.0,1830.0,1795.0,55.0,2754.999999999999,171.99999999999994,3400.0,360.0,1200.0,14.103649799670542,13.81,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Fortuner 2.8 4x4 AT [2016-2020],2017,218999.99999999988,Jaipur,4795.0,1855.0,1835.0,80.0,2754.999999999999,174.0,3400.0,450.0,1600.0,14.103649799670542,13.81,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Alto 800 LXi (O),2019,7404.661098281211,Bangalore,3445.0,1515.0,1475.0,35.0,925.1908124790585,46.99999999999999,6000.0,69.0,3500.0,13.0876568212651,13.81,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
i20 Active 1.2 SX,2015,44999.999999999985,Thane,3995.0,1760.0,1555.0,45.0,1196.9999999999995,82.00000000000001,6000.0,115.0,4000.0,13.332835658211609,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SX4 VXi,2012,118000.00000000009,Pune,4490.0,1735.0,1560.0,50.0,1585.9999999999995,101.99999999999996,5500.0,145.0,4200.0,13.0876568212651,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
X3 xDrive20d,2012,74072.99999999996,Hyderabad,4648.0,1881.0,1661.0,67.0,1995.0000000000007,184.00000000000006,4000.0,380.0,1750.0,14.970197610360676,13.81,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C-Class C200 Progressive,2021,7404.661098281211,Bangalore,4686.0,1810.0,1442.0,66.0,1990.999999999999,201.0,5800.0,300.0,1200.0,14.979287245081439,13.81,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Discovery Sport HSE Luxury,2016,20000.000000000015,Hyderabad,4600.0,2035.0,1690.0,65.0,1998.9999999999993,176.99999999999994,4000.0,430.0,1750.0,15.278102064185989,13.81,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Hector Sharp 2.0 Diesel [2019-2020],2020,12399.999999999998,Mohali,4655.0,1835.0,1760.0,60.0,1955.9999999999993,169.0,3750.0,350.0,1750.0,14.235879202727373,13.81,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Baleno Zeta 1.2 AT,2017,40000.0,Pune,3995.0,1745.0,1500.0,37.0,1196.9999999999995,83.00000000000003,6000.0,115.0,4000.0,13.0876568212651,13.81,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Eeco 7 STR [2019-2020],2018,31999.999999999993,Udupi,3675.0,1491.0,1800.0,40.0,1195.9999999999998,72.99999999999999,6000.0,101.0,3000.0,13.0876568212651,13.81,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
E-Class E 220 d Avantgarde,2019,7404.661098281211,Bangalore,5063.0,1860.0,1494.0,80.0,1950.0000000000005,192.0,3800.0,400.0,1600.0,14.979287245081439,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Swift VDi,2014,86000.00000000001,Coimbatore,3850.0,1695.0,1530.0,42.0,1248.0000000000005,74.00000000000003,4000.0,190.0,2000.0,13.0876568212651,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nexon XM Diesel,2018,64999.999999999956,Amritsar,3994.0,1811.0,1607.0,44.0,1497.0000000000007,108.00000000000003,3750.0,260.0,1500.0,13.539726337744348,13.81,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
XUV500 W11 AT,2020,45350.00000000001,Bangalore,4585.0,1890.0,1785.0,70.0,2179.000000000001,152.99999999999997,3750.0,360.0,1750.0,13.7548285741869,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Ecosport Trend 1.5 Ti-VCT,2019,14095.000000000011,Delhi,3999.0,1765.0,1708.0,52.0,1499.0,108.99999999999997,6300.0,140.0,4400.0,13.701192212433263,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
City V,2016,68499.99999999999,Ahmedabad,4440.0,1695.0,1495.0,40.0,1497.0000000000007,117.00000000000003,6600.0,145.0,4600.0,13.247622182348156,13.81,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],2016,46999.99999999999,Dehradun,3765.0,1660.0,1520.0,43.0,1196.9999999999995,81.00000000000003,6000.0,114.0,4000.0,13.332835658211609,13.81,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
