Model,Year,Kilometer,Location,Length,Width,Height,Fuel Tank Capacity,Engine_Value,Max_Power_Value,Max_Power_RPM,Max_Torque_Value,Max_Torque_RPM,Make_encoded,Drivetrain_encoded,Fuel_CNG,Fuel_Others,Fuel_Petrol,Transmission_is_Automatic,Color_Medium,Color_Premium,Color_Rare,Color_Silver,Color_Standard,Owner_First_Owner,Owner_Fourth_Plus_Owner,Owner_New,Owner_Second_Owner,Owner_Third_Owner,Seller_Commercial Registration,Seller_Corporate,Seating_2,Seating_4,Seating_6,Seating_7,Seating_8
Verna SX Plus 1.6 CRDi AT,2017,80000.0,Bangalore,4440.0,1729.0,1475.0,45.0,1581.9999999999993,126.0,4000.0,260.0,1500.0,13.332835658211609,13.81,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
M-Class 350 CDI,2014,81000.00000000007,Ahmedabad,4781.0,1911.0,1774.0,95.0,2987.000000000002,234.00000000000006,3800.0,535.0,1600.0,14.979287245081439,13.81,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
E-Class E 220d Exclusive [2019-2019],2022,10999.999999999993,Delhi,5063.0,1860.0,1494.0,80.0,1950.0000000000005,192.0,3800.0,400.0,1600.0,14.979287245081439,13.81,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CLA 200 D Urban Sport,2018,20000.000000000015,Mumbai,4630.0,1777.0,1432.0,56.0,2143.0000000000005,136.00000000000006,3200.0,300.0,1400.0,14.979287245081439,13.81,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Jazz S AT [2015-2016],2015,41999.99999999999,Delhi,3955.0,1694.0,1544.0,40.0,1198.0,87.0,6000.0,110.0,4800.0,13.247622182348156,13.81,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Santro GL (CNG),2013,57000.000000000044,Kanpur,3565.0,1525.0,1590.0,35.0,1085.9999999999998,62.00000000000001,5500.0,96.0,3000.0,13.332835658211609,13.81,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
i10 Magna,2009,22999.999999999996,Mumbai,3565.0,1595.0,1550.0,35.0,1085.9999999999998,66.99999999999997,5500.0,99.0,2800.0,13.332835658211609,13.81,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Cooper S,2020,12999.999999999995,Delhi,3850.0,1727.0,1414.0,44.0,1997.999999999999,189.00000000000003,4200.0,280.0,1250.0,14.516270808655126,13.81,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Kushaq Style 1.0L TSI AT,2021,7900.000000000007,Pune,4225.0,1760.0,1612.0,50.0,999.0000000000003,114.00000000000003,5000.0,178.0,1750.0,13.940173966008981,13.81,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Hexa XT 4x2 6 STR,2017,88756.99999999993,Indore,4788.0,1903.0,1791.0,60.0,2179.000000000001,154.00000000000006,4000.0,400.0,1700.0,13.539726337744348,13.81,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Santro Sportz,2021,18999.999999999985,Ahmedabad,3610.0,1645.0,1560.0,35.0,1085.9999999999998,68.00000000000001,5500.0,99.0,4500.0,13.332835658211609,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Verna 1.6 VTVT SX,2016,44999.999999999985,Delhi,4375.0,1700.0,1475.0,43.0,1590.9999999999998,121.00000000000003,6300.0,158.0,4200.0,13.332835658211609,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Swift DZire VDI,2017,35000.00000000001,Patna,3995.0,1695.0,1555.0,42.0,1248.0000000000005,74.00000000000003,4000.0,190.0,2000.0,13.0876568212651,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
X1 sDrive20d xLine,2019,29220.99999999998,Bangalore,4454.0,2035.0,1545.0,63.0,1995.0000000000007,184.00000000000006,4000.0,350.0,1750.0,14.970197610360676,13.81,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Duster 110 PS RxL,2016,64999.999999999956,Delhi,4315.0,1822.0,1695.0,50.0,1461.0000000000002,108.00000000000003,3900.0,248.0,2250.0,13.085894547754995,13.81,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Tigor Revotron XM,2018,48143.99999999997,Kolkata,3992.0,1677.0,1537.0,35.0,1198.9999999999998,83.99999999999999,6000.0,114.0,3500.0,13.539726337744348,13.81,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Fortuner 2.8 4x2 AT [2016-2020],2017,46000.000000000044,Delhi,4795.0,1855.0,1835.0,80.0,2754.999999999999,174.0,3400.0,450.0,1600.0,14.103649799670542,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
i20 Sportz 1.2,2013,29135.000000000022,Panchkula,3995.0,1710.0,1505.0,45.0,1196.9999999999995,83.00000000000003,6000.0,113.0,4000.0,13.332835658211609,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Octavia 1.8 TSI L&K,2018,67546.00000000001,Ludhiana,4670.0,1814.0,1476.0,50.0,1797.9999999999995,176.99999999999994,5100.0,250.0,1250.0,13.940173966008981,13.81,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Aspire Titanium1.5 TDCi [2018-2020],2019,35000.00000000001,Bhopal,3995.0,1704.0,1525.0,40.0,1497.9999999999998,98.99999999999999,3750.0,215.0,1750.0,13.701192212433263,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Creta 1.6 SX Plus Petrol,2019,36313.00000000003,Mumbai,4270.0,1780.0,1630.0,60.0,1590.9999999999998,122.00000000000003,6400.0,154.0,4850.0,13.332835658211609,13.81,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Innova 2.4 G 7 STR [2016-2017],2018,95314.99999999994,Karnal,4735.0,1830.0,1795.0,55.0,2392.999999999999,147.99999999999994,3400.0,343.0,1400.0,14.103649799670542,13.81,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Vitara Brezza VDi (O) [2016-2018],2018,63999.99999999997,Lucknow,3995.0,1790.0,1640.0,48.0,1248.0000000000005,88.99999999999999,4000.0,200.0,1750.0,13.0876568212651,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ertiga VDI SHVS,2017,41999.99999999999,Delhi,4296.0,1695.0,1685.0,45.0,1248.0000000000005,88.99999999999999,4000.0,200.0,1750.0,13.0876568212651,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
A4 2.0 TDI Sline,2012,89000.00000000004,Mohali,4370.0,1775.0,1550.0,50.0,1497.9999999999998,117.00000000000003,4200.0,200.0,1900.0,14.645617786857711,13.81,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3-Series 320d Luxury Line,2020,22999.999999999996,Mumbai,4633.0,1811.0,1429.0,57.0,1995.0000000000007,188.0,4000.0,400.0,1750.0,14.970197610360676,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Wagon R LXi Minor,2009,39586.00000000001,Ranchi,3520.0,1491.0,1690.0,35.0,1060.9999999999998,66.99999999999997,6200.0,84.0,3500.0,13.0876568212651,13.81,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Ciaz Delta Hybrid 1.5 [2018-2020],2019,7404.661098281211,Mumbai,4490.0,1730.0,1485.0,43.0,1461.9999999999995,103.00000000000001,6000.0,138.0,4400.0,13.0876568212651,13.81,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Figo Duratec Petrol ZXI 1.2,2013,73000.00000000003,Thane,3795.0,1680.0,1427.0,45.0,1195.9999999999998,70.00000000000003,6250.0,102.0,4000.0,13.701192212433263,13.81,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
XUV300 1.5 W6 [2019-2020],2020,52000.000000000044,Lucknow,3995.0,1821.0,1627.0,42.0,1497.0000000000007,115.00000000000001,3750.0,300.0,1500.0,13.7548285741869,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Endeavour Titanium 2.0 4x2 AT,2021,9400.000000000002,Delhi,4903.0,1869.0,1837.0,80.0,1996.0000000000007,167.99999999999997,3500.0,420.0,2000.0,13.701192212433263,13.81,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Amaze 1.5 VX CVT Diesel,2020,39000.0,Ludhiana,3995.0,1695.0,1501.0,35.0,1497.9999999999998,79.0,3600.0,160.0,1750.0,13.247622182348156,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Grand i10 Asta 1.2 Kappa VTVT [2013-2016],2021,18105.000000000004,Bangalore,3765.0,1660.0,1520.0,43.0,1196.9999999999995,81.00000000000003,6000.0,114.0,4000.0,13.332835658211609,13.81,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Superb L&K TSI AT,2018,14119.999999999993,Pune,4861.0,1864.0,1483.0,66.0,1797.9999999999995,176.99999999999994,5100.0,250.0,1250.0,13.940173966008981,13.81,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Grand i10 NIOS Sportz 1.2 Kappa VTVT CNG,2020,17999.999999999993,Ghaziabad,3805.0,1680.0,1520.0,60.0,1196.9999999999995,68.00000000000001,6000.0,95.0,4000.0,13.332835658211609,13.81,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tigor XZA Plus,2021,9000.0,Pune,3993.0,1677.0,1532.0,35.0,1198.9999999999998,83.99999999999999,6000.0,113.0,3300.0,13.539726337744348,13.81,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
City VX,2021,10000.00000000001,Mumbai,4440.0,1695.0,1495.0,40.0,1497.0000000000007,117.00000000000003,6600.0,145.0,4600.0,13.247622182348156,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
WR-V S MT Diesel,2018,40999.99999999999,Raipur,3999.0,1734.0,1601.0,40.0,1497.9999999999998,98.99999999999999,3600.0,200.0,1750.0,13.247622182348156,13.81,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Swift VXi,2013,67999.99999999999,Mumbai,3850.0,1695.0,1530.0,42.0,1196.9999999999995,85.00000000000001,6000.0,114.0,4000.0,13.0876568212651,13.81,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Seltos HTX 1.5 [2020-2021],2020,41999.99999999999,Ahmedabad,4315.0,1800.0,1645.0,50.0,1497.0000000000007,113.00000000000003,6300.0,144.0,4500.0,14.082939331174831,13.81,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Superb L&K TSI AT,2016,70000.00000000001,Raipur,4861.0,1864.0,1483.0,66.0,1797.9999999999995,176.99999999999994,5100.0,250.0,1250.0,13.940173966008981,13.81,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
i10 Magna,2009,107000.00000000003,Coimbatore,3565.0,1595.0,1550.0,35.0,1085.9999999999998,66.99999999999997,5500.0,99.0,2800.0,13.332835658211609,13.81,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
A4 2.0 TDI Sline,2012,56000.000000000044,Delhi,4370.0,1775.0,1550.0,50.0,1497.9999999999998,117.00000000000003,4200.0,200.0,1900.0,14.645617786857711,13.81,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
i10 Sportz 1.2 AT Kappa2,2013,40999.99999999999,Pune,3585.0,1595.0,1550.0,35.0,1196.9999999999995,79.0,6000.0,112.7619,4000.0,13.332835658211609,13.81,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Wagon R VXi 1.0 [2019-2019],2018,50000.000000000015,Bhubaneswar,3655.0,1620.0,1675.0,32.0,1497.9999999999998,117.00000000000003,4200.0,200.0,1900.0,13.0876568212651,13.81,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Wagon R LXi Minor,2008,50000.000000000015,Varanasi,3520.0,1491.0,1690.0,35.0,1060.9999999999998,66.99999999999997,6200.0,84.0,3500.0,13.0876568212651,13.81,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Baleno Zeta 1.2 AT,2017,35616.000000000015,Pune,3995.0,1745.0,1500.0,37.0,1196.9999999999995,83.00000000000003,6000.0,115.0,4000.0,13.0876568212651,13.81,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Venue SX (O) 1.0 Turbo iMT,2021,7500.0000000000055,Hyderabad,3995.0,1770.0,1605.0,45.0,998.0000000000002,118.00000000000004,6000.0,172.0,1500.0,13.332835658211609,13.81,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fortuner 3.0 4x2 AT,2014,143000.0000000001,Faridabad,4705.0,1840.0,1850.0,80.0,2982.000000000002,169.0,3600.0,360.0,1400.0,14.103649799670542,13.81,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Elite i20 Magna 1.4 CRDI [2016-2017],2016,61181.00000000002,Jaipur,3985.0,1734.0,1505.0,45.0,1396.0,88.99999999999999,4000.0,220.0,1500.0,13.332835658211609,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Alto LXi BS-III,2010,18500.0,Lucknow,3495.0,1491.0,1460.0,35.0,925.1908124790585,46.99999999999999,6200.0,62.0,3000.0,13.0876568212651,13.81,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ecosport Titanium + 1.5L TDCi [2019-2020],2019,28000.00000000002,Mumbai,3998.0,1765.0,1647.0,52.0,1497.9999999999998,98.99999999999999,3750.0,205.0,1750.0,13.701192212433263,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
i10 Sportz 1.2 Kappa2,2011,41999.99999999999,Pune,3585.0,1595.0,1550.0,35.0,1196.9999999999995,79.0,6000.0,112.7619,4000.0,13.332835658211609,13.81,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Q7 3.0 TDI quattro Premium,2014,25000.000000000004,Chennai,5089.0,1983.0,1737.0,100.0,2966.9999999999995,240.99999999999994,3800.0,550.0,1750.0,14.645617786857711,13.81,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Evoque SE,2016,28999.999999999996,Delhi,4465.0,1900.0,1635.0,57.0,2179.000000000001,188.0,3500.0,420.0,1750.0,15.278102064185989,13.81,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
City V,2018,28000.00000000002,Delhi,4440.0,1695.0,1495.0,40.0,1497.0000000000007,117.00000000000003,6600.0,145.0,4600.0,13.247622182348156,13.81,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
City SV,2019,35999.99999999998,Pune,4440.0,1695.0,1495.0,40.0,1497.0000000000007,117.00000000000003,6600.0,145.0,4600.0,13.247622182348156,13.81,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
X5 xDrive 30d,2015,58999.99999999997,Chandigarh,4886.0,1938.0,1762.0,50.0,2993.0000000000027,258.0,4000.0,560.0,1500.0,14.970197610360676,13.81,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Fortuner 3.0 4x2 AT,2014,101000.00000000003,Jalandhar,4705.0,1840.0,1850.0,80.0,2982.000000000002,169.0,3600.0,360.0,1400.0,14.103649799670542,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Creta SX 1.6 AT CRDi,2018,282094.2333993672,Delhi,4270.0,1780.0,1665.0,55.0,1581.9999999999993,126.0,4000.0,260.0,1500.0,13.332835658211609,13.81,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Creta SX Plus 1.6  Petrol,2017,29401.000000000025,Mumbai,4270.0,1780.0,1630.0,60.0,1590.9999999999998,122.00000000000003,6400.0,154.0,4850.0,13.332835658211609,13.81,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Seltos GTX Plus 1.4 [2020-2021],2019,16999.99999999999,Bangalore,4315.0,1800.0,1645.0,50.0,1352.9999999999995,138.00000000000006,6000.0,242.0,1500.0,14.082939331174831,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Baleno Zeta 1.2,2021,21999.999999999993,Raipur,3995.0,1745.0,1500.0,37.0,1196.9999999999995,83.00000000000003,6000.0,115.0,4000.0,13.0876568212651,13.81,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Swift VXi [2014-2017],2019,44710.00000000004,Pune,3850.0,1695.0,1530.0,42.0,1196.9999999999995,83.00000000000003,6000.0,115.0,4000.0,13.0876568212651,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Vitara Brezza VDi,2019,81300.00000000003,Ludhiana,3995.0,1790.0,1640.0,48.0,1248.0000000000005,88.99999999999999,4000.0,200.0,1750.0,13.0876568212651,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ertiga ZXi Plus,2021,22999.999999999996,Bangalore,4395.0,1735.0,1690.0,45.0,1461.9999999999995,103.00000000000001,6000.0,138.0,4400.0,13.0876568212651,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Vitara Brezza ZDi,2018,50500.00000000004,Dharwad,3995.0,1790.0,1640.0,48.0,1248.0000000000005,88.99999999999999,4000.0,200.0,1750.0,13.0876568212651,13.81,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Q7 35 TDI Premium Plus + Sunroof,2012,118000.00000000009,Bangalore,5089.0,1983.0,1737.0,100.0,2966.9999999999995,240.99999999999994,3800.0,550.0,1750.0,14.645617786857711,13.81,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Thar LX 4-STR Hard Top Petrol MT,2021,8000.0000000000055,Agra,3985.0,1820.0,1844.0,57.0,1997.0,149.99999999999997,5000.0,300.0,1250.0,13.7548285741869,13.81,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
Q7 35 TDI Premium + Sunroof,2014,42532.999999999985,Mumbai,5089.0,1983.0,1737.0,100.0,2966.9999999999995,240.99999999999994,3800.0,550.0,1750.0,14.645617786857711,13.81,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Scorpio S5 2WD 7 STR,2018,58999.99999999997,Patna,4456.0,1820.0,1995.0,60.0,2179.000000000001,119.99999999999997,4000.0,280.0,1800.0,13.7548285741869,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Eon 1.0 Kappa Magna AirBag,2015,16205.00000000001,Pune,3515.0,1550.0,1510.0,32.0,998.0000000000002,68.00000000000001,6200.0,94.0,3500.0,13.332835658211609,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Verna Fluidic 1.6 VTVT SX,2014,61999.99999999997,Delhi,4370.0,1700.0,1475.0,43.0,1590.9999999999998,121.00000000000003,6300.0,158.0,4200.0,13.332835658211609,13.81,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Grand i10 Magna AT 1.2 Kappa VTVT,2018,53000.00000000002,Hyderabad,3765.0,1660.0,1520.0,43.0,1196.9999999999995,81.00000000000003,6000.0,114.0,4000.0,13.332835658211609,13.81,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Scorpio S9 2WD 7 STR,2020,77999.99999999994,Yamunanagar,4456.0,1820.0,1995.0,60.0,2179.000000000001,139.99999999999994,3750.0,320.0,1500.0,13.7548285741869,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Elite i20 Sportz 1.4,2015,60999.999999999956,Ahmedabad,3985.0,1734.0,1505.0,45.0,1396.0,88.99999999999999,4000.0,220.0,1500.0,13.332835658211609,13.81,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Thar CRDe 4x4 Non AC,2015,84999.99999999996,Ambala Cantt,3920.0,1710.0,1930.0,60.0,2498.0,104.99999999999997,3800.0,247.0,1800.0,13.7548285741869,13.81,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
X5 xDrive30d Pure Experience (5 Seater),2015,84699.99999999993,Pune,4886.0,1938.0,1762.0,50.0,2993.0000000000027,258.0,4000.0,560.0,1500.0,14.970197610360676,13.81,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Innova 2.7 VX 7 STR [2016-2020],2020,25999.999999999985,Delhi,4735.0,1830.0,1795.0,65.0,2693.9999999999995,164.00000000000006,5200.0,245.0,4000.0,14.103649799670542,13.81,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Q7 45 TDI Premium Plus,2017,23999.99999999999,Gurgaon,5052.0,1968.0,1740.0,75.0,2966.9999999999995,245.0000000000001,2910.0,600.0,1500.0,14.645617786857711,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Fortuner 3.0 MT,2010,126999.99999999991,Guwahati,4695.0,1840.0,1850.0,80.0,2982.000000000002,171.00000000000009,3600.0,343.0,1400.0,14.103649799670542,13.81,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Terrano XL (D),2015,84999.99999999996,Mumbai,4331.0,1822.0,1671.0,50.0,1461.0000000000002,83.99999999999999,3750.0,200.0,1900.0,13.343536423603807,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
E-Class E 220d Exclusive [2019-2019],2020,17999.999999999993,Noida,5063.0,1860.0,1494.0,80.0,1950.0000000000005,192.0,3800.0,400.0,1600.0,14.979287245081439,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Swift VXi,2021,14365.999999999995,Ahmedabad,3845.0,1735.0,1530.0,37.0,1196.9999999999995,88.99999999999999,6000.0,113.0,4400.0,13.0876568212651,13.81,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Amaze 1.2 S i-VTEC Opt,2016,50000.000000000015,Guwahati,3990.0,1680.0,1505.0,35.0,1198.0,87.0,6000.0,109.0,4500.0,13.247622182348156,13.81,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
S-Cross Alpha 1.3,2017,52245.00000000002,Pune,4300.0,1785.0,1595.0,48.0,1248.0000000000005,88.99999999999999,4000.0,200.0,1750.0,13.0876568212651,13.81,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Amaze 1.5 VX i-DTEC,2015,63586.99999999996,Mumbai,3990.0,1680.0,1505.0,35.0,1497.9999999999998,98.99999999999999,3600.0,200.0,1750.0,13.247622182348156,13.81,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Creta 1.6 SX Plus AT Petrol,2018,33499.99999999998,Mumbai,4270.0,1780.0,1630.0,60.0,1590.9999999999998,122.00000000000003,6400.0,154.0,4850.0,13.332835658211609,13.81,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tiago Revotron XZA,2018,20000.000000000015,Mumbai,3746.0,1647.0,1535.0,35.0,1198.9999999999998,83.99999999999999,6000.0,114.0,3500.0,13.539726337744348,13.81,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Sail Sedan 1.2 LS,2014,31999.999999999993,Dehradun,4249.0,1690.0,1503.0,42.0,1198.9999999999998,85.00000000000001,6000.0,113.0,5000.0,13.244374287794319,13.81,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Verna 1.6 CRDI SX,2018,79800.00000000004,Karnal,4375.0,1700.0,1475.0,43.0,1581.9999999999993,126.0,4000.0,260.0,1900.0,13.332835658211609,13.81,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
A6 35 TDI Premium,2014,32999.99999999999,Faridabad,4915.0,1874.0,1455.0,65.0,1967.9999999999998,176.99999999999994,3750.0,380.0,1750.0,14.645617786857711,13.81,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Kwid CLIMBER 1.0 [2017-2019],2017,44999.999999999985,Bhubaneswar,3679.0,1579.0,1478.0,28.0,999.0000000000003,66.99999999999997,5500.0,91.0,4250.0,13.085894547754995,13.81,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Swift DZire VDI,2014,75000.00000000004,Ludhiana,3995.0,1695.0,1555.0,42.0,1248.0000000000005,74.00000000000003,4000.0,190.0,2000.0,13.0876568212651,13.81,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
X3 xDrive 20d Luxury Line [2018-2020],2021,39000.0,Ahmedabad,4657.0,1881.0,1678.0,67.0,1995.0000000000007,190.0,4000.0,400.0,1750.0,14.970197610360676,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C-Class C 220d Progressive [2018-2019],2019,32999.99999999999,Mumbai,4686.0,1810.0,1442.0,66.0,1950.0000000000005,192.0,3800.0,400.0,1600.0,14.979287245081439,13.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
i20 Magna 1.2,2011,75430.99999999994,Mumbai,4370.0,1775.0,1550.0,50.0,1497.9999999999998,117.00000000000003,4200.0,200.0,1900.0,13.332835658211609,13.81,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Ritz VXI BS-IV,2011,58888.00000000001,Delhi,4370.0,1775.0,1550.0,50.0,1497.9999999999998,117.00000000000003,4200.0,200.0,1900.0,13.0876568212651,13.81,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Duster 110 PS RXZ 4X2 MT Diesel,2016,282094.2333993672,Ranchi,4315.0,1822.0,1695.0,50.0,1461.0000000000002,108.00000000000003,3900.0,248.0,2250.0,13.085894547754995,13.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
i10 Sportz 1.2,2009,126535.00000000007,Hyderabad,3565.0,1595.0,1550.0,35.0,1196.9999999999995,79.99999999999997,5200.0,111.0,4000.0,13.332835658211609,13.81,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Venue SX 1.4 CRDi,2019,41999.99999999999,Mumbai,3995.0,1770.0,1605.0,45.0,1396.0,88.99999999999999,4000.0,220.0,1500.0,13.332835658211609,13.81,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
